epoch,step,train/loss,train/mu_mse,train/sigma_nll,val/loss,val/mu_mse,val/sigma_nll,val/z_std
12,2599,,,,0.9363120794296265,0.37545740604400635,0.5608546137809753,0.9733051657676697
13,2649,0.9328782558441162,0.37281396985054016,0.5600643157958984,,,,
13,2699,0.9369199872016907,0.375729501247406,0.5611904859542847,,,,
13,2749,1.0395272970199585,0.4062737226486206,0.6332535743713379,,,,
13,2799,0.9423398971557617,0.3795940577983856,0.5627458095550537,,,,
13,2799,,,,0.929111897945404,0.374216228723526,0.5548956990242004,0.9781747460365295
14,2849,0.9245822429656982,0.35390526056289673,0.5706769824028015,,,,
14,2899,0.8052924871444702,0.31525492668151855,0.4900375306606293,,,,
14,2949,1.0138061046600342,0.4137113690376282,0.6000946760177612,,,,
14,2999,0.8865662217140198,0.340384304523468,0.5461819171905518,,,,
14,2999,,,,0.926001787185669,0.3739831745624542,0.5520185828208923,0.9738020896911621
